Geo Point;Opérateur de Mobilité;Aménageur;id_borne;nom_borne;numero_rue;libelle_voie;commune;code_postal;code_insee;marque_borne;modele_borne;Interopérabilité;type_chargement;date_mise_en_service;id_prise;ordre_prise;puissance_prise;connecteur_disponible_prise;longitude;latitude;geolocalisation
43.6959650005,1.34830200251;Révéo;Toulouse Metropole;STATION-FR-M31-P31541-001;SEILH - Allée De L'Europe;;Allée De L'Europe;Seilh;31840;31541;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-02-15;FR*M31*E31541*001*1;1;22;EF,T2,T3;1.348302;43.695965;43.695965,1.348302
43.695982998,1.34830151476;Révéo;Toulouse Metropole;STATION-FR-M31-P31541-001;SEILH - Allée De L'Europe;;Allée De L'Europe;Seilh;31840;31541;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-02-15;FR*M31*E31541*001*2;2;22;EF,T2,T3;1.348302;43.695965;43.695965,1.348302
43.6019760023,1.45141600317;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-005;TOULOUSE - François Verdier;23;Boulevard Lazare Carnot;Toulouse;31000;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-04-04;FR*M31*E31555*005*2;2;22;EF,T2,T3;1.451416;43.601976;43.601976,1.451416
43.5644061207,1.4896265777;Révéo;Toulouse Metropole;STATION-FR-M31-E31555-007;TOULOUSE - Caroline Aigle;;Caroline Aigle;Toulouse;31400;31555;EVTRONIC;QUICK CHARGER EVTRONIC;Mobilecity,Gireve,KiwhiOCPI;rapide;2017-10-24;FR*M31*E31555*007*3;3;36;COMBO;1.4896506071;43.5644104437;43.5644104437,1.4896506071
43.5643943662,1.48966174877;Révéo;Toulouse Metropole;STATION-FR-M31-E31555-007;TOULOUSE - Caroline Aigle;;Caroline Aigle;Toulouse;31400;31555;EVTRONIC;QUICK CHARGER EVTRONIC;Mobilecity,Gireve,KiwhiOCPI;rapide;2017-10-24;FR*M31*E31555*007*5;5;43;T2;1.4896506071;43.5644104437;43.5644104437,1.4896506071
43.5869309979,1.49232755563;Révéo;Toulouse Metropole;STATION-FR-M31-E31555-008;TOULOUSE - Cité de l'espace;;Avenue Jean Gonord;Toulouse;31500;31555;LAFON;GLine;Mobilecity,Gireve,KiwhiOCPI;normal;2017-12-07;FR*M31*E31555*008*1;1;22;T2,EF;1.492328;43.586913;43.586913,1.492328
43.5822199992,1.41427900234;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-012;TOULOUSE - Rue Henri Desbals;;Rue Henri Desbals;Toulouse;31100;31555;CAHORS;City 2;Gireve,Mobilecity,KiwhiOCPI;normal;2019-08-29;FR*M31*E31555*012*1;1;22;EF,T2,T3;1.414279;43.58222;43.58222,1.414279
43.6092820005,1.43189700112;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-013;TOULOUSE - Angle Bld Lascrosse / Bld Maréchal Leclerc;;Angle Bld Lascrosse / Bld Maréchal Leclerc;Toulouse;31000;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2020-05-02;FR*M31*E31555*013*1;1;22;EF,T2,T3;1.431897;43.609282;43.609282,1.431897
43.5954809998,1.42233200265;Révéo;Toulouse Metropole;FR*M31*P31555*014;TOULOUSE - Allée Maurice Sarrault;16;Allée Maurice Sarrault;Toulouse;31300;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-11-18;FR*M31*E31555*014*1;1;22;EF,T2,T3;1.422332;43.595481;43.595481,1.422332
43.6010649984,1.42637699692;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-015;TOULOUSE - Rue Des Bourrassols;18;Rue Des Bourrassols;Toulouse;31300;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-11-18;FR*M31*E31555*015*1;1;22;EF,T2,T3;1.426377;43.601065;43.601065,1.426377
43.6085490005,1.38303252162;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-017;TOULOUSE- Route De Bayonne;119;Route De Bayonne;Toulouse;31300;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-11-12;FR*M31*E31555*017*2;2;22;EF,T2,T3;1.383033;43.608531;43.608531,1.383033
43.5849019997,1.45328500114;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-021;TOULOUSE - Place Henri Russel;1;Place Henri Russel;Toulouse;31400;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2020-03-02;FR*M31*E31555*021*1;1;22;EF,T2,T3;1.453285;43.584902;43.584902,1.453285
43.6193629984,1.43703300249;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-024;TOULOUSE - Av. Frédéric Estèbe;21;Av. Frédéric Estèbe;Toulouse;31200;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2020-05-02;FR*M31*E31555*024*1;1;22;EF,T2,T3;1.437033;43.619363;43.619363,1.437033
43.5250979989,1.34296051316;Révéo;Toulouse Metropole;STATION-FR-M31-P31588-001;VILLENEUVE TOLOSANE - Rene Cassin;;Rene Cassin;Villeneuve-Tolosane;31270;31588;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31588*001*2;2;22;EF,T2,T3;1.342961;43.52508;43.52508,1.342961
