Geo Point;Geo Shape;nom;num_station;nb_bornettes;en_service;rue;mot_directeur;no;nrivoli;commune;code_insee;locations_2016;oid;locations_2019
43.5932005795,1.42442781969;"{""type"": ""MultiPoint"", ""coordinates"": [[1.424427819687435, 43.59320057953012]]}";CUGNAUX GRAVETTE;183;18;oui;RUE DE CUGNAUX;CUGNAUX (RUE DE CUGNAUX);66;3105552424;Toulouse;31555;14879;532;14193
43.5997275962,1.47829649007;"{""type"": ""MultiPoint"", ""coordinates"": [[1.478296490072887, 43.59972759621318]]}";CASTRES (projet);0;0;non;AV DE CASTRES;CASTRES (AV DE CASTRES);;;Toulouse;31555;0;547;0
43.5739078905,1.44855240068;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448552400676191, 43.573907890510675]]}";CHARBONNIÈRE;280;0;oui;RUE DE LA CHARBONNIERE;CHARBONNIERE (RUE DE LA CHARBONNIERE);;;Toulouse;31555;7083;549;7466
43.5739907257,1.41948032091;"{""type"": ""MultiPoint"", ""coordinates"": [[1.41948032091196, 43.57399072565021]]}";GALLIENI;274;0;oui;RTE DE SEYSSES;SEYSSES (RTE DE SEYSSES);;;Toulouse;31555;4967;552;4479
43.6065621497,1.41414761263;"{""type"": ""MultiPoint"", ""coordinates"": [[1.414147612626486, 43.606562149723025]]}";WAGNER;282;0;oui;BD RICHARD WAGNER;WAGNER (BD RICHARD WAGNER);;3105557468;Toulouse;31555;6412;567;8071
43.5990450941,1.44039892006;"{""type"": ""MultiPoint"", ""coordinates"": [[1.440398920057608, 43.59904509410661]]}";QUAI DE TOUNIS;27;22;oui;QU DE TOUNIS;TOUNIS (QU DE TOUNIS);122B;3105558520;Toulouse;31555;17311;286;14314
43.6000778625,1.44931801794;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449318017941392, 43.600077862459464]]}";PLACE SAINT ETIENNE;24;20;oui;PL SAINT ETIENNE;ETIENNE (PL SAINT ETIENNE);14;3105557756;Toulouse;31555;23228;288;21720
43.6016309305,1.45608133922;"{""type"": ""MultiPoint"", ""coordinates"": [[1.456081339224927, 43.60163093053482]]}";DAURIAC - ESCANDE;42;23;oui;BD PR LEOPOLD ESCANDE;ESCANDE (BD PR LEOPOLD ESCANDE);3;3105557151;Toulouse;31555;13160;293;11028
43.5984630863,1.43669274179;"{""type"": ""MultiPoint"", ""coordinates"": [[1.436692741794254, 43.5984630862546]]}";CHATEAU D EAU;75;21;oui;PL LAGANNE;LAGANNE (PL LAGANNE);12;3105554944;Toulouse;31555;30101;300;27921
43.6086098111,1.44360465962;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443604659619747, 43.608609811148106]]}";BERALDI;33;15;oui;RUE HENRI BERALDI;BERALDI (RUE HENRI BERALDI);11;3105554120;Toulouse;31555;11863;320;9753
43.6086981702,1.43693343205;"{""type"": ""MultiPoint"", ""coordinates"": [[1.436933432051792, 43.60869817018826]]}";PLACE SAINT JULIEN;53;24;oui;PL SAINT JULIEN;JULIEN (PL SAINT JULIEN);0;3105557864;Toulouse;31555;23806;323;19830
43.6085736107,1.43476567042;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434765670415262, 43.60857361067321]]}";DUPORTAL -  CITE ADMINISTRATIVE;52;21;oui;BD ARMAND DUPORTAL;DUPORTAL (BD ARMAND DUPORTAL);41;3105550492;Toulouse;31555;8475;324;7380
43.594361052,1.44096279942;"{""type"": ""MultiPoint"", ""coordinates"": [[1.440962799420181, 43.59436105202641]]}";GARONNETTE;50;23;oui;AV MAURICE HAURIOU;HAURIOU (AV MAURICE HAURIOU);1;3105555804;Toulouse;31555;12036;343;9117
43.5979899231,1.44291181173;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442911811729471, 43.597989923096186]]}";DALBADE - DE GORSSE;26;21;oui;RUE HENRY DE GORSSE;GORSSE (RUE HENRY DE GORSSE);9;3105554132;Toulouse;31555;24693;345;20067
43.597417561,1.44527793081;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445277930811578, 43.59741756099531]]}";PLACE DES CARMES;46;20;oui;PL DES CARMES;CARMES (PL DES CARMES);37;3105551708;Toulouse;31555;46808;346;37879
43.60104748,1.43413355696;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434133556962294, 43.6010474799592]]}";PLACE LANGE;79;19;oui;PL LANGE;LANGE (PL LANGE);1;3105554996;Toulouse;31555;8763;352;9517
43.5977807803,1.43161735088;"{""type"": ""MultiPoint"", ""coordinates"": [[1.431617350882171, 43.59778078032251]]}";PLACE INT SAINT CYPRIEN;77;13;oui;PL INTERIEURE ST CYPRIEN;CYPRIEN (PL INTERIEURE ST CYPRIEN);2;3105554336;Toulouse;31555;22923;354;18229
43.606136318,1.44135064795;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441350647947546, 43.60613631802477]]}";LOIS -  ESQUILE;13;15;oui;RUE DE L ESQUILE;ESQUILE (RUE DE L ESQUILE);1;3105553080;Toulouse;31555;24543;365;17269
43.6104694123,1.4527560251;"{""type"": ""MultiPoint"", ""coordinates"": [[1.452756025098989, 43.61046941228669]]}";BONREPOS;61;25;oui;BD DE BONREPOS;BONREPOS (BD DE BONREPOS);8T;3105551256;Toulouse;31555;27856;366;512
43.6134349949,1.4464126268;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446412626795893, 43.613434994949856]]}";CONCORDE -  PRINTEMPS;59;18;oui;RUE DE LA CONCORDE;CONCORDE (RUE DE LA CONCORDE);61;3105552256;Toulouse;31555;22849;370;21215
43.6095901704,1.43040129112;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430401291118368, 43.60959017035652]]}";SEBASTOPOL - LASCROSSES;107;25;oui;RUE DE SEBASTOPOL;SEBASTOPOL (RUE DE SEBASTOPOL);1;3105558204;Toulouse;31555;29081;374;16389
43.6134589692,1.43024323237;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430243232371767, 43.613458969203506]]}";EMBOUCHURE -  HAEDENS;122;20;oui;BD DE L EMBOUCHURE;EMBOUCHURE (BD DE L EMBOUCHURE);57;3105552952;Toulouse;31555;13678;375;11140
43.6098356983,1.45528002555;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455280025548707, 43.60983569833128]]}";MEDIATHEQUE;96;25;oui;ALL JACQUES CHABAN DELMAS;DELMAS (ALL JACQUES CHABAN DELMAS);1;3105554399;Toulouse;31555;36114;379;39567
43.5926435707,1.43391008374;"{""type"": ""MultiPoint"", ""coordinates"": [[1.433910083742549, 43.59264357069786]]}";PLACE DU FER A CHEVAL;70;18;oui;PL DU FER A CHEVAL;CHEVAL (PL DU FER A CHEVAL);5;3105553240;Toulouse;31555;18744;386;16416
43.5969150023,1.42621995844;"{""type"": ""MultiPoint"", ""coordinates"": [[1.426219958441035, 43.596915002343]]}";BILLIERES - POSTE;117;17;oui;AV ETIENNE BILLIERES;BILLIERES (AV ETIENNE BILLIERES);39;3105553116;Toulouse;31555;11507;389;9300
43.616959762,1.45426742657;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454267426571887, 43.61695976203255]]}";ECOLE BONNEFOY;126;20;oui;RUE DU FAUBOURG BONNEFOY;BONNEFOY (RUE DU FAUBOURG BONNEFOY);18;3105553204;Toulouse;31555;26110;390;27908
43.6126252093,1.43825513213;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438255132127177, 43.61262520927713]]}";SERRES -  ARNAUD BERNARD;121;20;oui;AV HONORE SERRES;SERRES (AV HONORE SERRES);33;3105554256;Toulouse;31555;17693;397;14155
43.5905939965,1.44529342012;"{""type"": ""MultiPoint"", ""coordinates"": [[1.44529342011539, 43.59059399654081]]}";ST MICHEL - STE CATHERINE;103;20;oui;GRANDE-RUE SAINT MICHEL;MICHEL (GRANDE-RUE SAINT MICHEL);139;3105557916;Toulouse;31555;24536;401;21236
43.6003721705,1.42028430395;"{""type"": ""MultiPoint"", ""coordinates"": [[1.420284303945452, 43.60037217050685]]}";BRUNHES FONTAINES;137;55;oui;BD JEAN BRUNHES;BRUNHES (BD JEAN BRUNHES);55;3105554524;Toulouse;31555;16870;413;14070
